,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
44,2,894,901,40192.283203125,38884.7265625,-2615.11328125,-0.03253252954097752,2022-03-06,2022-03-13,7 days
45,-2,901,910,38107.03203125,41074.10546875,-5934.146875000006,-0.07786157250627213,2022-03-13,2022-03-22,9 days
46,2,910,930,41895.587578125,42201.0390625,610.9029687500006,0.007290779340554776,2022-03-22,2022-04-11,20 days
47,-2,930,981,41357.01828125,31792.5546875,19128.927187499998,0.23126579214938792,2022-04-11,2022-06-01,51 days
48,3,981,982,32428.40578125,29794.890625,-7900.545468749999,-0.08121013330148619,2022-06-01,2022-06-02,1 days
49,-3,982,983,29198.9928125,30467.806640625,-3806.4414843749983,-0.04345402720815161,2022-06-02,2022-06-03,1 days
50,3,983,993,31077.1627734375,26737.578125,-13018.7539453125,-0.13963902303677034,2022-06-03,2022-06-13,10 days
51,-3,993,1022,26202.8265625,19970.474609375,18697.055859374996,0.23785036848064278,2022-06-13,2022-07-12,29 days
52,5,1022,1063,20369.8841015625,21531.462890625,5807.8939453124985,0.05702431998488389,2022-07-12,2022-08-22,41 days
53,-5,1063,1085,21100.8336328125,22371.48046875,-6353.234179687497,-0.06021785006453961,2022-08-22,2022-09-13,22 days
54,4,1085,1094,22818.910078125,18534.650390625,-17137.038750000007,-0.1877504084477305,2022-09-13,2022-09-22,9 days
55,-5,1094,1107,18163.9573828125,20335.900390625,-10859.715039062503,-0.11957432854735073,2022-09-22,2022-10-05,13 days
56,3,1107,1118,20742.618398437502,19068.9140625,-5021.113007812506,-0.08068915427107215,2022-10-05,2022-10-16,11 days
57,-4,1118,1128,18687.53578125,20092.236328125,-5618.802187499998,-0.07516777831587595,2022-10-16,2022-10-26,10 days
58,3,1128,1143,20494.0810546875,15883.158203125,-13832.7685546875,-0.22498802650670047,2022-10-26,2022-11-10,15 days
59,-3,1143,1165,15565.4950390625,16968.68359375,-4209.5656640625,-0.09014737733468281,2022-11-10,2022-12-02,22 days
60,3,1165,1185,17308.057265625,16818.380859375,-1469.0292187500017,-0.02829181800909175,2022-12-02,2022-12-22,20 days
61,-3,1185,1204,16482.0132421875,17192.94921875,-2132.807929687504,-0.04313404959187772,2022-12-22,2023-01-10,19 days
62,2,1204,1236,17536.808203125,21651.841796875,8230.067187499997,0.23465122878042965,2023-01-10,2023-02-11,32 days
63,-2,1236,1246,21218.8049609375,24833.048828125,-7228.487734374998,-0.17033211219204358,2023-02-11,2023-02-21,10 days
64,1,1246,1257,25329.7098046875,22362.923828125,-2966.7859765625,-0.11712672586613959,2023-02-21,2023-03-04,11 days
65,-2,1257,1271,21915.6653515625,27448.1171875,-11064.903671875,-0.252442795926479,2023-03-04,2023-03-18,14 days
66,1,1271,1309,27997.07953125,27514.873046875,-482.2064843750013,-0.017223456605063636,2023-03-18,2023-04-25,38 days
67,-1,1309,1319,26964.5755859375,28851.48046875,-1886.9048828125015,-0.06997717715967156,2023-04-25,2023-05-05,10 days
68,1,1319,1326,29428.510078125,26987.662109375,-2440.8479687500003,-0.08294160874166534,2023-05-05,2023-05-12,7 days
69,-1,1326,1345,26447.9088671875,27700.529296875,-1252.6204296875003,-0.04736179468772894,2023-05-12,2023-05-31,19 days
70,1,1345,1354,28254.5398828125,26505.923828125,-1748.6160546874999,-0.06188796780765127,2023-05-31,2023-06-09,9 days
71,-1,1354,1367,25975.8053515625,29995.935546875,-4020.1301953125003,-0.1547644102234036,2023-06-09,2023-06-22,13 days
