CO_CODE,CO_NAME,F&O,[ISIN No,Current Live Rating,Current Live Restricted,As per new Rules,As per new Rules - Restricted,New Rules Rating (ex Symbol),New Rules Rating (ex Symbol) Restricted,New Rules Rating (ex ADTO),New Rules Rating (ex ADTO) Restricted,"New Rules Rating (ex Symbol, ex ADTO)",New Rules - Quick Rating,Poor_Reasons_Count,Percent_Funding,BSE_VAR_pct,NSE_VAR_pct,ANGEL_VAR_pct,Poor_Reasons,New Rules Restricted Reason,Mcap,[Total Shareholders Funds (Latest)],Revenue- Latest FY,6M Median ADTO in Rs crs,PET Check,F-Score,Promoter Pledge%,Impact Cost,BSE Series,NSE Series,Nifty 500,Aug 2025_ADTO in Rs crs,Sep 2025_ADTO in Rs crs,Oct 2025_ADTO in Rs crs,Poor_Alz_Manual,Poor_Alz_Manual_Comments,Poor_to_Avg_Manual,Good_BC_to_Avg_Manual,Manual_Rating,Rating v1 (as per rules),Latest_3M_ADTO_above_thresh,All Conditions Met (Except Size) + 50% of Average Size Criteria Met,Meeting Size Criteria_Poor,Size Exception for Poor to Average,"All Conditions of Good Met (Except ""Good"" Size)",Size Criteria_Average,Size Exception for Average to Good,ADTO_Wipsaw_Upgrade,Rating v2 (V1 wo adj for whipsaw),Rating v2 (V1 adj for whipsaw),MTF_VAR_pct,As per old Rules,As per old Rules - Restricted
2306,B H E L,F&O,INE257A01026,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.432254461,18.96,18.95,18.96,,,92709.94,24722.16,28339.48,206.0041104,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,174.5040076,182.6443696,271.2428448,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,25.97,Bluechip,
2307,Hindustan Zinc,F&O,INE267A01025,Average,-,Poor,,Poor,,Poor,,Poor,Bluechip,1,0.128711462,18.28,18.12,30,Promoter Pledge%,,201230.82,13326,34083,188.2164948,PET Good,F-Check Passed,90.28,0.04,A,EQ,Nifty 500,74.050686,253.986536,353.9993264,,,,,Poor,Poor,3,No,3,,,,,,Poor,Poor,35,Bluechip,
2322,Tata Elxsi,F&O,INE670A01012,Good,-,Good,,Good,,Good,,Good,Good,0,0.359095016,15.09,15.07,15.09,,,33995.88,2859.96,3729.05,113.3029848,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,74.6162904,105.5909832,121.0149864,,,,,Good,Good,3,,,,,,,,Good,Good,22.08,Bluechip,
2330,Kotak Mah. Bank,F&O,INE237A01028,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.209674383,12.5,12.5,12.5,,,418000.11,157489.35,65668.83,765.2425096,PET Good,F-Check Passed,0,0.01,A,EQ,Nifty 500,687.6788608,752.4693376,738.1742944,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,19.5,Bluechip,
2461,UPL,F&O,INE628A01036,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.060851144,14.65,14.39,14.65,,,60735.41,29213,46637,171.5778825,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,211.3739552,168.8688574,126.5528892,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.42,Bluechip,
2598,NCC,F&O,INE868B01028,Good,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.200678177,19.11,19.09,19.11,,,13335.46,7323.71,22199.36,69.21697,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,72.7370896,62.98539,40.6300092,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,26.13,Bluechip,
2650,P I Industries,F&O,INE603J01030,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.061623831,13.22,13.21,13.22,,,54223.3,10157,7977.8,84.9128489,PET Good,F-Check Passed,0,0.04,A,EQ,Nifty 500,95.376643,66.0063464,74.4490548,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.24,Bluechip,
2806,Infosys,F&O,INE009A01021,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,1.330490884,13.18,13.13,13.18,,,615890,95818,162990,1162.852019,PET Good,F-Check Passed,0,0.01,A,EQ,Nifty 500,1341.07127,1278.150784,1127.777421,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,20.15,Bluechip,
2966,Samvardh. Mothe.,F&O,INE775A01035,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.367897146,16.89,16.89,16.89,,,111191.05,34880.3,113662.6,170.1620984,PET Good,F-Check Passed,2.9,0.03,A,EQ,Nifty 500,150.5761584,288.5616992,136.9814928,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,23.91,Bluechip,
3026,Lupin,F&O,INE326A01037,Bluechip,-,Bluechip,,Bluechip,,Bluechip,,Bluechip,Bluechip,0,0.135777535,13.98,13.99,13.99,,,89719.51,17203.5,22707.9,199.6984178,PET Good,F-Check Passed,0,0.03,A,EQ,Nifty 500,213.2875072,142.3649232,165.2478992,,,,,Bluechip,Bluechip,3,,,,,,,,Bluechip,Bluechip,21.01,Bluechip,
